BARRIO;TOTAL;TASA;ACUMULADO
MATADEROS;659;1022.7;24;24
PARQUE AVELLANEDA;322;604,9;12;35
VILLA LURO;97;298.4;3;62
VILLA DEL PARQUE;163;294,9;6;47
MONTE CASTRO;89;264,7;3;65
FLORESTA;85;226,2;3;68
VILLA LUGANO;178;140,9;6;41
LINIERS;62;140.5;2;73
VELEZ SARSFIELD;43;122,6;2;83
VILLA DEVOTO;79;118,8;3;71
VILLA SANTA RITA;38;114,0;1;84
FLORES;152;92.5;5;58
VILLA SOLDATI;35;74,8;1;87
PALERMO;158;69.7;6;53
BARRACAS;59;66,0;2;79
BELGRANO;60;47,5;2;77
VILLA CRESPO;35;42,7;1;85
RETIRO;27;41,3;1;90
ALMAGRO;51;38,7;2;81
CABALLITO;61;34,6;2;75
BALVANERA;34;24,5;1;88
RECOLETA;31;19.6;1;89
