domicilio_barrio,count
Palermo,6759
Flores,6087
Caballito,5209
Villa Urquiza,4781
Villa Devoto,4571
Villa Lugano,4369
Belgrano,4038
Barracas,3381
Almagro,3361
Villa Crespo,3077
Villa Del Parque,3077
Balvanera,2978
Recoleta,2916
Saavedra,2816
Villa Pueyrredon,2458
Parque Avellaneda,2368
Nuñez,2275
Mataderos,2239
Liniers,2088
Parque Chacabuco,2033
Colegiales,1870
Villa Santa Rita,1778
Villa Soldati,1750
Boedo,1627
Villa Gral. Mitre,1617
Chacarita,1602
Monte Castro,1500
San Nicolas,1361
Floresta,1311
Villa Luro,1296
Velez Sarsfield,1278
San Cristobal,1247
Parque Patricios,1167
Paternal,1166
Villa Ortuzar,1144
Coghlan,1121
Puerto Madero,1087
Nueva Pompeya,1050
Parque Chas,1020
Monserrat,848
Constitucion,832
Agronomia,822
Retiro,786
San Telmo,711
Versalles,684
Boca,676
Villa Real,543
Villa Riachuelo,452
