contacto;periodo;categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;domicilio_esquina_proxima;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;domicilio_calle
00179197/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;17-04-21;15:08:45;6.0;Caballito;MALVINAS ARGENTINAS;104.0;;-34.62598449;-58.45136402;GCS Web;Femenino;Abierto;;
00155687/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;01-04-21;14:15:51;6.0;Caballito;MALVINAS ARGENTINAS;104.0;;-34.62598449;-58.45136402;GCS Web;Masculino;Cerrado;06-04-2021 12:08:18;
00155979/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;01-04-21;17:55:06;14.0;Palermo;SCALABRINI ORTIZ, RAUL AV.;2456.0;;-34.58557813;-58.41682049;GCS Web;Femenino;Cerrado;08-04-2021 16:17:52;
00157307/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;03-04-21;12:43:52;8.0;Villa Soldati;RABANAL, FRANCISCO, INTENDENTE AV.;2701.0;;-34.66183754;-58.43387237;GCS Web;Masculino;Cerrado;08-04-2021 16:35:23;
00158146/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;04-04-21;14:40:27;14.0;Palermo;SOLER;3704.0;;-34.59331111;-58.4154456;GCS Web;Femenino;Abierto;;
00158480/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;04-04-21;21:29:20;14.0;Palermo;HONDURAS;5585.0;;-34.58431605;-58.43601309;GCS Web;Femenino;Abierto;;
00160787/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;05-04-21;23:15:27;11.0;Villa Devoto;LADINES;3560.0;;-34.58922259;-58.51335477;App BA 147;Femenino;Cerrado;08-04-2021 16:32:04;
00158934/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;05-04-21;09:33:52;4.0;Parque Patricios;LOS PATOS;3196.0;;-34.64147737;-58.40730521;App BA 147;Masculino;Cerrado;08-04-2021 16:34:06;
00160193/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;05-04-21;17:04:33;12.0;Saavedra;CORREA;3083.0;;-34.54625345;-58.47962647;GCS Web;Femenino;Cerrado;13-04-2021 12:08:33;
00161549/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;06-04-21;11:41:07;4.0;Barracas;LAFAYETTE;601.0;;-34.64577352;-58.39125087;App BA 147;Femenino;Abierto;;
00161961/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;06-04-21;14:40:04;4.0;Barracas;CRUZ, OSVALDO;3475.0;;-34.65610218;-58.39710733;GCS Web;Femenino;Abierto;;
00164504/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;07-04-21;15:55:38;11.0;Villa Del Parque;CUENCA;2602.0;;-34.60517794;-58.49231504;App BA 147;Masculino;Cerrado;20-04-2021 17:27:15;
00164662/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;07-04-21;16:51:45;8.0;Villa Lugano;DELLEPIANE, LUIS, TTE. GRAL.;4961.0;;-34.6661057;-58.47454441;GCS Web;Femenino;Abierto;;
00166470/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;08-04-21;14:25:25;14.0;Palermo;LAS HERAS GENERAL AV.;4010.0;;-34.58168489;-58.41702753;GCS Web;Femenino;Abierto;;
00164559/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;07-04-21;16:18:52;9.0;Mataderos;DIRECTORIO AV.;6259.0;;-34.65880438;-58.50064351;App BA 147;Femenino;Abierto;;
00166866/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;08-04-21;17:23:53;11.0;Villa Devoto;LADINES;3560.0;;-34.58922259;-58.51335477;App BA 147;Femenino;Abierto;;
